NAME,GEOID,minx,miny,maxx,maxy
Gillespie,1729236,-89.832359,39.114299,-89.804179,39.137045
Gilman,1729275,-88.019947,40.74591,-87.974922,40.777636
Gilson,1729340,-90.207282,40.859024,-90.189526,40.867527
Girard,1729392,-89.79661,39.435374,-89.768921,39.453921
Gladstone,1729431,-90.966054,40.858954,-90.948605,40.869754
Glasford,1729483,-89.826994,40.563725,-89.799371,40.580259
Glasgow,1729496,-90.489422,39.541414,-90.470513,39.556052
Glen Carbon,1729639,-90.03881,38.737003,-89.908338,38.788702
Glen Ellyn,1729756,-88.090917,41.830657,-88.026986,41.901567
Glencoe,1729652,-87.784866,42.11607,-87.74153,42.152402
Glendale Heights,1729730,-88.101797,41.895622,-88.043419,41.943149
Glenview,1729938,-87.893719,42.055093,-87.758658,42.116827
Glenwood,1730029,-87.640979,41.520709,-87.580967,41.560289
Godfrey,1730094,-90.275702,38.896913,-90.137068,38.9994
Godley,1730120,-88.255179,41.230429,-88.235396,41.248928
Golconda,1730133,-88.495711,37.353265,-88.481068,37.370915
Golden,1730159,-91.030655,40.104645,-91.007765,40.114738
Golden Gate,1730250,-88.208304,38.357039,-88.201462,38.360862
Golf,1730328,-87.79746,42.055227,-87.775762,42.062564
Good Hope,1730458,-90.684716,40.551892,-90.666395,40.562457
Goodenow,1730419,-87.641623,41.390977,-87.637364,41.393363
Goodfield,1730445,-89.286397,40.608603,-89.246251,40.640591
Goofy Ridge,1730510,-89.961348,40.385013,-89.923812,40.407488
Goreville,1730575,-88.994517,37.542513,-88.911514,37.593156
Gorham,1730588,-89.490997,37.703088,-89.473104,37.725365
Grafton,1730653,-90.45983,38.963687,-90.394681,38.992273
Grand Detour,1730705,-89.429262,41.886067,-89.398563,41.91183
Grand Ridge,1730757,-88.837615,41.231022,-88.824526,41.241217
Grand Tower,1730770,-89.515332,37.621082,-89.48042,37.648255
Grandview,1730835,-89.625042,39.81294,-89.608875,39.822644
Grandwood Park,1730900,-88.004142,42.385569,-87.964344,42.404616
Granite City,1730926,-90.189473,38.68034,-90.075759,38.798935
Grant Park,1730991,-87.658952,41.22557,-87.606614,41.262934
Grantfork,1730978,-89.67604,38.819206,-89.65754,38.835444
Granville,1731017,-89.242807,41.256146,-89.212161,41.281513
Grayslake,1731121,-88.063315,42.2988,-87.988163,42.389623
Grayville,1731165,-88.011809,38.231795,-87.983058,38.282731
Green Oaks,1731446,-87.934345,42.263382,-87.883525,42.323744
Green Valley,1731563,-89.651781,40.399975,-89.633417,40.413424
Greenfield,1731368,-90.228693,39.328384,-90.187006,39.353298
Greenup,1731524,-88.173827,39.233984,-88.145139,39.26642
Greenview,1731576,-89.751785,40.076779,-89.730426,40.091595
Greenville,1731589,-89.423804,38.860388,-89.343698,38.90916
Greenwood,1731667,-88.423661,42.377496,-88.352169,42.418083
Gridley,1731732,-88.895501,40.733235,-88.868056,40.754332
Griggsville,1731771,-90.73818,39.698334,-90.713296,39.715751
Gulfport,1731991,-91.097649,40.793676,-91.068433,40.823638
Gurnee,1732018,-88.003098,42.327597,-87.883929,42.403862
Hainesville,1732200,-88.080061,42.327829,-88.058286,42.35703
Hamburg,1732395,-90.723725,39.224675,-90.708498,39.239183
Hamel,1732408,-89.857265,38.881598,-89.821769,38.899898
Hamilton,1732434,-91.421973,40.375667,-91.324203,40.41152
Hamlet,1732473,-90.744715,41.306677,-90.72557,41.317692
Hammond,1732499,-88.599301,39.792121,-88.584955,39.806724
Hampshire,1732525,-88.555709,42.077453,-88.454621,42.153761
Hampton,1732564,-90.420583,41.543593,-90.376228,41.573055
Hanaford,1732616,-88.845026,37.950658,-88.826273,37.965243
Hanna City,1732668,-89.833153,40.682562,-89.785046,40.702003
Hanover,1732707,-90.314707,42.245381,-90.24573,42.266089
Hanover Park,1732746,-88.16983,41.937908,-88.11878,42.01811
Hardin,1732850,-90.641843,39.145364,-90.606506,39.183629
Harding,1732876,-88.855153,41.512666,-88.843904,41.523872
Harmon,1732967,-89.560575,41.716126,-89.5496,41.729598
Harmony,1733019,-88.535452,42.153634,-88.518079,42.165075
Harrisburg,1733136,-88.577368,37.708894,-88.51252,37.765751
Harrison,1733162,-89.351296,37.783647,-89.31481,37.809492
Harristown,1733227,-89.106283,39.831092,-89.024128,39.857495
Hartford,1733279,-90.119862,38.784044,-90.067015,38.845251
Hartland,1733292,-88.516213,42.359928,-88.501436,42.366741
Hartsburg,1733318,-89.446379,40.246843,-89.436916,40.25394
Harvard,1733331,-88.660985,42.396119,-88.569636,42.465775
Harvel,1733357,-89.540673,39.348804,-89.521541,39.36344
Harvey,1733383,-87.685147,41.579063,-87.621523,41.629897
Harwood Heights,1733435,-87.819466,41.956723,-87.786742,41.974538
Havana,1733513,-90.079684,40.274682,-90.030168,40.311896
Hawthorn Woods,1733630,-88.115843,42.197311,-88.018923,42.277151
Hazel Crest,1733695,-87.713614,41.549678,-87.655883,41.58634
Hebron,1733851,-88.449967,42.450444,-88.419109,42.482903
Hecker,1733877,-89.998943,38.298268,-89.983163,38.308752
Henderson,1734007,-90.360707,41.019602,-90.348598,41.029339
Hennepin,1734098,-89.351457,41.227792,-89.299026,41.308476
Henning,1734137,-87.711111,40.295717,-87.690863,40.317844
Henry,1734163,-89.375089,41.103874,-89.33443,41.133511
Heritage Lake,1734272,-89.341815,40.537028,-89.320134,40.553658
Herrick,1734332,-88.991681,39.215938,-88.977762,39.223255
Herrin,1734358,-89.063606,37.742354,-88.995092,37.844796
Herscher,1734384,-88.114503,41.038348,-88.081096,41.064424
Hettick,1734423,-90.042779,39.350673,-90.03232,39.360634
Heyworth,1734449,-89.035378,40.297851,-88.958862,40.33773
Hickory Hills,1734514,-87.848027,41.708657,-87.807999,41.740325
Hidalgo,1734553,-88.155556,39.151612,-88.142607,39.160142
Highland,1734670,-89.712506,38.717193,-89.648377,38.824354
Highland Park,1734722,-87.852057,42.152252,-87.758829,42.223163
Highwood,1734865,-87.821551,42.196086,-87.804354,42.218049
Hillcrest,1734982,-89.089549,41.948438,-89.024626,41.992067
Hillsboro,1735047,-89.508678,39.122497,-89.431978,39.277782
Hillsdale,1735073,-90.190799,41.598853,-90.165778,41.617798
Hillside,1735086,-87.918243,41.844527,-87.882433,41.885418
Hillview,1735203,-90.548555,39.440893,-90.525616,39.456186
Hinckley,1735268,-88.655283,41.765598,-88.621731,41.779578
